

<<ROLLBACK_START>>,<<FMS_EXCHG_RATE_ENTRY()>>, 	(25-FEB-2025 18:01:03)
 
EXCHG_RATE_CD,EFF_DT,TIMESTAMP
6,09/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
13,16/05/2005 00:00:00, 	(25-FEB-2025 18:01:04)
15,16/05/2005 00:00:00, 	(25-FEB-2025 18:01:04)
14,16/05/2005 00:00:00, 	(25-FEB-2025 18:01:04)
6,10/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,14/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,15/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,16/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,17/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,18/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,20/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,21/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,22/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,23/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,24/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,28/09/2008 00:00:00, 	(25-FEB-2025 18:01:04)
6,29/09/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,30/09/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,01/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,02/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,08/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,09/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,10/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,11/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,12/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,25/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,26/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,27/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,28/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,29/10/2008 00:00:00, 	(25-FEB-2025 18:01:05)
6,05/01/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,06/01/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,07/01/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,08/01/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,09/01/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,01/03/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,02/03/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,03/03/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,11/03/2009 00:00:00, 	(25-FEB-2025 18:01:05)
6,12/03/2009 00:00:00, 	(25-FEB-2025 18:01:06)
6,13/03/2009 00:00:00, 	(25-FEB-2025 18:01:06)
6,14/03/2009 00:00:00, 	(25-FEB-2025 18:01:06)
6,15/03/2009 00:00:00, 	(25-FEB-2025 18:01:06)
6,24/03/2009 00:00:00, 	(25-FEB-2025 18:01:06)
6,25/03/2009 00:00:00, 	(25-FEB-2025 18:01:07)
6,26/03/2009 00:00:00, 	(25-FEB-2025 18:01:07)
6,27/03/2009 00:00:00, 	(25-FEB-2025 18:01:07)
6,28/03/2009 00:00:00, 	(25-FEB-2025 18:01:07)
6,29/03/2009 00:00:00, 	(25-FEB-2025 18:01:08)
6,30/03/2009 00:00:00, 	(25-FEB-2025 18:01:08)
6,31/03/2009 00:00:00, 	(25-FEB-2025 18:01:08)
6,07/04/2009 00:00:00, 	(25-FEB-2025 18:01:08)
6,08/04/2009 00:00:00, 	(25-FEB-2025 18:01:08)
6,09/04/2009 00:00:00, 	(25-FEB-2025 18:01:08)
6,10/04/2009 00:00:00, 	(25-FEB-2025 18:01:09)
6,11/04/2009 00:00:00, 	(25-FEB-2025 18:01:09)
6,12/04/2009 00:00:00, 	(25-FEB-2025 18:01:09)
6,13/04/2009 00:00:00, 	(25-FEB-2025 18:01:09)
6,14/04/2009 00:00:00, 	(25-FEB-2025 18:01:09)
6,26/04/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,27/04/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,28/04/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,29/04/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,30/04/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,11/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,12/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,13/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,14/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,15/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,26/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,27/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,28/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,29/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,30/05/2009 00:00:00, 	(25-FEB-2025 18:01:10)
6,11/06/2009 00:00:00, 	(25-FEB-2025 18:01:11)
6,12/06/2009 00:00:00, 	(25-FEB-2025 18:01:11)
6,13/06/2009 00:00:00, 	(25-FEB-2025 18:01:11)
6,14/06/2009 00:00:00, 	(25-FEB-2025 18:01:11)
6,15/06/2009 00:00:00, 	(25-FEB-2025 18:01:11)
6,17/06/2009 00:00:00, 	(25-FEB-2025 18:01:11)
6,18/06/2009 00:00:00, 	(25-FEB-2025 18:01:12)
6,19/06/2009 00:00:00, 	(25-FEB-2025 18:01:12)
6,20/06/2009 00:00:00, 	(25-FEB-2025 18:01:12)
6,21/06/2009 00:00:00, 	(25-FEB-2025 18:01:12)
6,22/06/2009 00:00:00, 	(25-FEB-2025 18:01:12)
6,23/06/2009 00:00:00, 	(25-FEB-2025 18:01:13)
6,24/06/2009 00:00:00, 	(25-FEB-2025 18:01:13)
6,10/07/2009 00:00:00, 	(25-FEB-2025 18:01:13)
6,11/07/2009 00:00:00, 	(25-FEB-2025 18:01:13)
6,12/07/2009 00:00:00, 	(25-FEB-2025 18:01:13)
6,13/07/2009 00:00:00, 	(25-FEB-2025 18:01:13)
6,14/07/2009 00:00:00, 	(25-FEB-2025 18:01:14)
6,15/07/2009 00:00:00, 	(25-FEB-2025 18:01:14)
6,16/07/2009 00:00:00, 	(25-FEB-2025 18:01:14)
6,17/07/2009 00:00:00, 	(25-FEB-2025 18:01:14)
6,18/07/2009 00:00:00, 	(25-FEB-2025 18:01:14)
6,03/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,04/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,05/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,06/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,07/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,08/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,14/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,15/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,16/08/2009 00:00:00, 	(25-FEB-2025 18:01:15)
6,17/08/2009 00:00:00, 	(25-FEB-2025 18:01:16)
6,18/08/2009 00:00:00, 	(25-FEB-2025 18:01:16)
6,24/08/2009 00:00:00, 	(25-FEB-2025 18:01:16)
6,25/08/2009 00:00:00, 	(25-FEB-2025 18:01:16)
6,26/08/2009 00:00:00, 	(25-FEB-2025 18:01:16)
6,27/08/2009 00:00:00, 	(25-FEB-2025 18:01:17)
6,28/08/2009 00:00:00, 	(25-FEB-2025 18:01:17)
6,29/08/2009 00:00:00, 	(25-FEB-2025 18:01:17)
6,30/08/2009 00:00:00, 	(25-FEB-2025 18:01:17)
6,10/09/2009 00:00:00, 	(25-FEB-2025 18:01:17)
6,11/09/2009 00:00:00, 	(25-FEB-2025 18:01:17)
6,12/09/2009 00:00:00, 	(25-FEB-2025 18:01:18)
6,13/09/2009 00:00:00, 	(25-FEB-2025 18:01:18)
6,14/09/2009 00:00:00, 	(25-FEB-2025 18:01:18)
6,21/09/2009 00:00:00, 	(25-FEB-2025 18:01:18)
6,22/09/2009 00:00:00, 	(25-FEB-2025 18:01:18)
6,23/09/2009 00:00:00, 	(25-FEB-2025 18:01:19)
6,24/09/2009 00:00:00, 	(25-FEB-2025 18:01:19)
6,25/09/2009 00:00:00, 	(25-FEB-2025 18:01:19)
6,26/09/2009 00:00:00, 	(25-FEB-2025 18:01:19)
6,27/09/2009 00:00:00, 	(25-FEB-2025 18:01:19)
6,28/09/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,29/09/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,08/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,09/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,10/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,11/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,12/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,19/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,20/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,21/10/2009 00:00:00, 	(25-FEB-2025 18:01:20)
6,22/10/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,23/10/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,01/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,02/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,03/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,04/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,05/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,06/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,07/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,08/11/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,01/12/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,02/12/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,03/12/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,04/12/2009 00:00:00, 	(25-FEB-2025 18:01:21)
6,23/03/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,24/03/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,25/03/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,26/03/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,27/03/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,21/04/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,23/04/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,24/04/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,25/04/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,30/05/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,31/05/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,01/06/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,02/06/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,03/06/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,01/08/2010 00:00:00, 	(25-FEB-2025 18:01:21)
6,02/08/2010 00:00:00, 	(25-FEB-2025 18:01:22)
6,03/08/2010 00:00:00, 	(25-FEB-2025 18:01:22)
6,04/08/2010 00:00:00, 	(25-FEB-2025 18:01:22)
6,05/08/2010 00:00:00, 	(25-FEB-2025 18:01:22)
6,12/09/2010 00:00:00, 	(25-FEB-2025 18:01:22)
6,13/09/2010 00:00:00, 	(25-FEB-2025 18:01:23)
6,14/09/2010 00:00:00, 	(25-FEB-2025 18:01:23)
6,15/09/2010 00:00:00, 	(25-FEB-2025 18:01:23)
6,16/09/2010 00:00:00, 	(25-FEB-2025 18:01:23)
6,24/09/2010 00:00:00, 	(25-FEB-2025 18:01:23)
6,25/09/2010 00:00:00, 	(25-FEB-2025 18:01:24)
6,26/09/2010 00:00:00, 	(25-FEB-2025 18:01:24)
6,27/09/2010 00:00:00, 	(25-FEB-2025 18:01:24)
6,28/09/2010 00:00:00, 	(25-FEB-2025 18:01:24)
6,04/10/2010 00:00:00, 	(25-FEB-2025 18:01:24)
15,30/03/2010 00:00:00, 	(25-FEB-2025 18:01:24)
1,15/03/2010 00:00:00, 	(25-FEB-2025 18:01:25)
6,17/02/2010 00:00:00, 	(25-FEB-2025 18:01:25)
1,17/02/2010 00:00:00, 	(25-FEB-2025 18:01:25)
15,17/02/2010 00:00:00, 	(25-FEB-2025 18:01:25)
13,17/02/2010 00:00:00, 	(25-FEB-2025 18:01:25)
6,15/02/2010 00:00:00, 	(25-FEB-2025 18:01:25)
1,15/02/2010 00:00:00, 	(25-FEB-2025 18:01:25)
14,16/04/2010 00:00:00, 	(25-FEB-2025 18:01:25)
14,15/04/2010 00:00:00, 	(25-FEB-2025 18:01:26)
14,31/05/2007 00:00:00, 	(25-FEB-2025 18:01:26)
15,01/06/2007 00:00:00, 	(25-FEB-2025 18:01:26)
13,01/06/2007 00:00:00, 	(25-FEB-2025 18:01:26)
14,01/06/2007 00:00:00, 	(25-FEB-2025 18:01:26)
13,04/06/2007 00:00:00, 	(25-FEB-2025 18:01:27)
15,04/06/2007 00:00:00, 	(25-FEB-2025 18:01:27)
14,04/06/2007 00:00:00, 	(25-FEB-2025 18:01:27)
13,05/06/2007 00:00:00, 	(25-FEB-2025 18:01:27)
15,05/06/2007 00:00:00, 	(25-FEB-2025 18:01:27)
14,05/06/2007 00:00:00, 	(25-FEB-2025 18:01:28)
13,06/06/2007 00:00:00, 	(25-FEB-2025 18:01:28)
15,06/06/2007 00:00:00, 	(25-FEB-2025 18:01:28)
14,06/06/2007 00:00:00, 	(25-FEB-2025 18:01:28)
13,07/06/2007 00:00:00, 	(25-FEB-2025 18:01:28)
15,07/06/2007 00:00:00, 	(25-FEB-2025 18:01:28)
14,07/06/2007 00:00:00, 	(25-FEB-2025 18:01:29)
13,08/06/2007 00:00:00, 	(25-FEB-2025 18:01:29)
15,08/06/2007 00:00:00, 	(25-FEB-2025 18:01:29)
14,08/06/2007 00:00:00, 	(25-FEB-2025 18:01:29)
13,11/06/2007 00:00:00, 	(25-FEB-2025 18:01:29)
15,11/06/2007 00:00:00, 	(25-FEB-2025 18:01:30)
14,11/06/2007 00:00:00, 	(25-FEB-2025 18:01:30)
13,12/06/2007 00:00:00, 	(25-FEB-2025 18:01:30)
15,12/06/2007 00:00:00, 	(25-FEB-2025 18:01:30)
14,12/06/2007 00:00:00, 	(25-FEB-2025 18:01:30)
13,13/06/2007 00:00:00, 	(25-FEB-2025 18:01:30)
15,13/06/2007 00:00:00, 	(25-FEB-2025 18:01:31)
14,13/06/2007 00:00:00, 	(25-FEB-2025 18:01:31)
13,14/06/2007 00:00:00, 	(25-FEB-2025 18:01:31)
15,14/06/2007 00:00:00, 	(25-FEB-2025 18:01:31)
