

<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(11-AUG-2025 17:04:57)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,AGMT_TYPE,TIMESTAMP,
2,4,1,0,G, 	(11-AUG-2025 17:04:57)
2,29,1,0,G, 	(11-AUG-2025 17:04:57)
2,29,1,0,P, 	(11-AUG-2025 17:04:57)
2,45,1,0,G, 	(11-AUG-2025 17:04:57)
2,53,1,0,G, 	(11-AUG-2025 17:04:57)
2,168,1,0,G, 	(11-AUG-2025 17:04:58)
2,134,1,0,G, 	(11-AUG-2025 17:04:58)

TOTAL DATA IN EXCEL : ,7,, 	(11-AUG-2025 17:04:58)
 

TOTAL DATA INSERTED : ,7,, 	(11-AUG-2025 17:04:58)
 

TOTAL SKIPPED DATA ,0,, 	(11-AUG-2025 17:04:58)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(11-AUG-2025 17:04:58)
 

<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(11-AUG-2025 17:04:58)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,PLANT_SEQ,AGMT_TYPE,TIMESTAMP,
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,8,G, 	(11-AUG-2025 17:04:58)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,7,G, 	(11-AUG-2025 17:04:58)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,2,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,5,G, 	(11-AUG-2025 17:04:58)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,2,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,6,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,4,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,4,G, 	(11-AUG-2025 17:04:58)
2,29,1,0,5,G, 	(11-AUG-2025 17:04:58)
2,29,1,0,3,G, 	(11-AUG-2025 17:04:58)
2,29,1,0,5,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,5,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,1,G, 	(11-AUG-2025 17:04:58)
2,29,1,0,1,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,3,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,5,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
2,29,1,0,4,G, 	(11-AUG-2025 17:04:58)	 (Not Inserted)
