

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(09-JUN-2025 09:37:48)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823037, 4,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822006, 0,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822006, 0,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,823037, 4,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,823037, 4,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822006, 0,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822007, 0,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:48)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:48)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:48)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:48)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822007, 0,D, 	(09-JUN-2025 09:37:48)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:48)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822007, 0,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,822007, 0,D, 	(09-JUN-2025 09:37:48)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:48)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,822007, 0,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,822007, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:49)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:49)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823038, 4,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823082, 5,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823080, 5,D, 	(09-JUN-2025 09:37:49)
2,51, 0, 0,822016, 2,I, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823039, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823039, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823039, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823039, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,822008, 0,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,822008, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823084, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823084, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823083, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823083, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823084, 0,D, 	(09-JUN-2025 09:37:49)
2,154, 0, 0,823084, 0,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823039, 4,D, 	(09-JUN-2025 09:37:49)
2,1, 0, 0,823039, 4,D, 	(09-JUN-2025 09:37:49)
2,51, 0, 0,823069, 1,I, 	(09-JUN-2025 09:37:49)
2,211, 0, 0,823094, 1,I, 	(09-JUN-2025 09:37:49)
