

<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,, 	(19-MAY-2025 12:00:09)
 
COMPANY_CD,CD,SEQ_NO,MAP_SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2, 1, 10, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 1, 11, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 1, 12, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 1, 13, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 116, 2, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 116, 1, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, null, 1, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, null, 2, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 256, 1, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 1, 1, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 2, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 3, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 4, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 5, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 6, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 7, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 1, 8, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 1, 9, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 15, 13, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 15, 18, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 15, 19, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 20, 13, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, null, 7, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 154, 10, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 17, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 18, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 110, 2, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 20, 16, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 154, 13, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 9, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 11, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 20, 19, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 20, 20, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 19, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 15, 17, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 20, 14, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, null, 8, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 154, 14, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 20, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 25, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 110, 1, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 116, 3, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 116, 4, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 116, 5, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 6, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 12, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 51, 6, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 20, 22, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 21, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 51, 1, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, null, 3, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 15, 14, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 15, 15, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 15, 20, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 110, 3, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 15, 16, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 154, 26, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 5, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 22, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 23, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 186, 2, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 159, 1, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 51, 7, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 278, 7, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 20, 36, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 110, 4, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 28, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 29, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 110, 6, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 278, 5, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 278, 6, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 166, 1, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 1, 5, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 110, 5, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 166, 3, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 278, 1, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 278, 2, 0, 0, null, 	(19-MAY-2025 12:00:09)	 (Not Inserted)
2, 110, 8, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 154, 32, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 64, 1, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 20, 27, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
2, 20, 28, 0, 0 ,null, 	(19-MAY-2025 12:00:09)
