

<<START>>,<<FMS_TRADER_CONT_MST>>,,,, 	(09-JUL-2025 09:33:01)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1:RIL, 0, 0,823001, 2,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823001, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823001, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823002, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823002, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823003, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823003, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823004, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823004, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823005, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823005, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823006, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823006, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823007, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823007, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823008, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823008, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823009, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823009, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823010, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823010, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823011, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823012, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823013, 2,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823013, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823013, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823014, 2,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823014, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823014, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823015, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823015, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,824001, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,824001, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,824002, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,824002, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,824003, 1,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,824003, 0,I, 	(09-JUL-2025 09:33:01)
2,1:RIL, 0, 0,823016, 4,D, 	(09-JUL-2025 09:33:01)
