

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(25-FEB-2025 17:54:08)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 , 4 , Gail , R , 1 , 01/12/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 2 , 01/12/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 3 , 01/12/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 4 , 01/12/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 5 , 01/12/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 6 , 01/08/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 7 , 01/03/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 8 , 01/11/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , R , 9 , 01/01/2025 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 217 , ESL , C , 1 , 01/04/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 217 , ESL , C , 1 , 26/08/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 2 , 01/06/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 2 , 18/11/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 3 , 01/06/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 3 , 27/01/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 4 , 27/01/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 5 , 27/01/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 5 , NTPC , C , 6 , 27/01/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 6 , KRIBHCO , C , 1 , 05/12/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 7 , DFPCL , C , 1 , 03/12/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 8 , AIGL , C , 1 , 22/07/2009 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 218 , ESEZ , C , 1 , 04/04/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 284 , KSFL , C , 1 , 20/12/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 242 , MAHAGENCO , C , 1 , 16/04/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 249 , NPL , C , 1 , 28/02/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 9 , SIGIL , C , 1 , 01/04/2009 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 9 , SIGIL , C , 1 , 01/04/2009 00:00:00, 	(25-FEB-2025 17:54:09)	 (Not Inserted)
2 , 225 , VIL , C , 1 , 12/12/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 11 , TPL , C , 1 , 04/08/2012 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 11 , TPL , C , 1 , 20/12/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 280 , WMSL , C , 1 , 31/05/2011 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 280 , WMSL , C , 1 , 25/11/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 12 , MNGL , C , 1 , 20/06/2013 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 1 , 04/02/2011 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 2 , 04/02/2011 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 2 , 01/04/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 3 , 04/02/2011 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 4 , 01/10/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 5 , 01/10/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 13 , IGL , C , 6 , 26/02/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 14 , BPCL , C , 1 , 24/07/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 14 , BPCL , C , 2 , 24/07/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 14 , BPCL , C , 2 , 23/02/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 14 , BPCL , C , 3 , 24/07/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 14 , BPCL , C , 4 , 25/08/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 14 , BPCL , T , 1 , 02/08/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 269 , TEL , C , 1 , 06/08/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 1 , 17/11/2010 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 1 , 16/09/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 1 , 01/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 1 , 15/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 1 , 01/01/2025 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 2 , 13/02/2015 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 3 , 01/10/2021 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 4 , 18/03/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 5 , 16/07/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , C , 5 , 29/07/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 15 , HPCL , T , 1 , 01/01/2020 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 16 , JSW , C , 1 , 31/05/2011 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 16 , JSW , C , 1 , 25/11/2014 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 16 , JSW , C , 1 , 31/05/2011 00:00:00, 	(25-FEB-2025 17:54:09)	 (Not Inserted)
2 , 16 , JSW , C , 1 , 25/11/2014 00:00:00, 	(25-FEB-2025 17:54:09)	 (Not Inserted)
2 , 17 , BGL , C , 1 , 28/07/2016 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 17 , BGL , C , 1 , 28/07/2016 00:00:00, 	(25-FEB-2025 17:54:09)	 (Not Inserted)
