

<<START>>,<<FMS_INVOICE_DTL>>,, 	(28-MAY-2025 14:34:19)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ_NO,TIMESTAMP,
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,27,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,28,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,44,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,39,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,42,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,35,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,38,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,41,1,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,43,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,43,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,43,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,1,43,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:20)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
2,1 , 2,0,26,0,S, 	(28-MAY-2025 14:34:21)	 (Not Inserted)
