

<<START>>,<<FMS_TRUCK_TRANS_CONTACT_MST>>,,,, 	(04-JUN-2025 10:05:37)
 
COMPANY_CD,TRUCK_TRANS_CD,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP,
2,1,1,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,1,2,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,2,1,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,2,2,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,2,3,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,4,1,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,4,2,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,4,3,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,6,1,12/05/2022 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,6,2,27/09/2022 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,6,3,01/02/2023 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,6,4,30/03/2023 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,7,1,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,7,2,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,7,3,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,7,4,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,8,1,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,8,2,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,8,3,26/02/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,8,4,01/04/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,8,4,07/01/2024 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,11,1,11/02/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,11,2,11/02/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,11,3,27/06/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,11,4,12/08/2023 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,12,1,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,12,2,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,12,3,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,12,4,13/12/2021 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,12,5,16/02/2022 00:00:00,C, 	(04-JUN-2025 10:05:37)
2,12,6,16/02/2022 00:00:00,C, 	(04-JUN-2025 10:05:37)
2,12,7,07/05/2022 00:00:00,C, 	(04-JUN-2025 10:05:37)
2,13,1,15/05/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,14,1,16/11/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,14,2,28/11/2022 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,15,1,01/02/2023 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,15,2,10/02/2023 00:00:00,R, 	(04-JUN-2025 10:05:37)
2,16,1,01/04/2023 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,16,2,01/04/2023 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,16,2,01/01/2024 00:00:00,B, 	(04-JUN-2025 10:05:37)
2,17,1,01/07/2023 00:00:00,B, 	(04-JUN-2025 10:05:37)

TOTAL DATA IN EXCEL : ,41,,,, 	(04-JUN-2025 10:05:37)
 

TOTAL DATA INSERTED : ,41,,,, 	(04-JUN-2025 10:05:37)
 

TOTAL SKIPPED DATA ,0,,,, 	(04-JUN-2025 10:05:37)
 
<<END>>,<<FMS_TRUCK_TRANS_CONTACT_MST>>,,,, 	(04-JUN-2025 10:05:37)
 

<<START>>,<<FMS_TRUCK_MST>>,,, 	(04-JUN-2025 10:05:54)
 
ENT_PROFILE,TRUCK_CD,TRUCK_REG_NUM,EFF_DT,TIMESTAMP,
2,2,GJ12-BX4197,01/01/2021 00:00:00, 	(04-JUN-2025 10:05:54)
2,3,GJ12-BW2139,15/02/2021 00:00:00, 	(04-JUN-2025 10:05:54)
