

<<START>>,<<FMS_GTA_SG_INV_MST>>,, 	(23-SEP-2025 15:44:21)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANS_BU_UNIT, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_TYPE, INVOICE_SEQ, INV_NO ,TIMESTAMP,
2,4,1,0,38,0,C,1,1,1,01/01/2025 00:00:00,15/01/2025 00:00:00,TC,1,UPG2A24109018623-624, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,1,08/04/2025 00:00:00,15/04/2025 00:00:00,TC,1,UPG2A25109000470, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,1,08/04/2025 00:00:00,15/04/2025 00:00:00,TC,2,UPG2A25109000471, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,3,UPG2A25109002321, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,4,UPG2A25109002322, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,5,UPG2A25109002324, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,6,UPG2A25109002325, 	(23-SEP-2025 15:44:21)
2,4,1,0,17,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,7,UPG2A25109002326, 	(23-SEP-2025 15:44:21)
2,4,1,0,114,0,C,1,1,1,01/12/2023 00:00:00,15/12/2023 00:00:00,TC,1,UPG2A23109012015, 	(23-SEP-2025 15:44:21)
2,4,1,0,126,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,2,UPG2A23109007666, 	(23-SEP-2025 15:44:21)
2,4,1,0,126,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,3,UPG2A23109008220, 	(23-SEP-2025 15:44:21)
2,4,1,0,101,0,C,1,1,1,01/12/2023 00:00:00,15/12/2023 00:00:00,IC,4,UPG2A23109011996, 	(23-SEP-2025 15:44:21)
2,4,1,0,101,0,C,1,1,1,01/12/2023 00:00:00,15/12/2023 00:00:00,TC,5,UPG2A23109012053, 	(23-SEP-2025 15:44:21)
2,4,1,0,101,0,C,1,1,2,16/12/2023 00:00:00,31/12/2023 00:00:00,TC,6,UPG2A23109012505, 	(23-SEP-2025 15:44:21)
2,4,1,0,124,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,7,UPG2A23109007477, 	(23-SEP-2025 15:44:21)
2,4,1,0,124,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,IC,8,UPG2A23109007478, 	(23-SEP-2025 15:44:21)
2,4,1,0,124,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,9,UPG2A23109007989, 	(23-SEP-2025 15:44:21)
2,4,1,0,36,0,C,1,1,1,01/01/2025 00:00:00,15/01/2025 00:00:00,TC,2,UPG2A24109018497-498, 	(23-SEP-2025 15:44:21)
