

<<START>>,<<FMS_INVOICE_MST_LP>>,, 	(04-FEB-2026 11:50:21)
 
COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,PLANT_SEQ_NO,CONTACT_PERSON_CD,INV_SEQ,START_DT,END_DT,TIMESTAMP,
2,15 , 2021-2022,2,0,9,0,S,1,24,5,1,11,11,16/05/2021,03/06/2021 00:00:00, 	(04-FEB-2026 11:50:21)
2,20 , 2021-2022,19,0,25003,0,Q,1,24,5,1,9,144,29/06/2021,20/07/2021, 	(04-FEB-2026 11:50:21)
2,20 , 2020-2021,17,0,20005,0,Q,1,24,5,1,9,331,02/08/2020,24/08/2020, 	(04-FEB-2026 11:50:21)
2,20 , 2020-2021,17,0,20005,0,Q,1,24,5,1,9,332,24/08/2020,04/09/2020, 	(04-FEB-2026 11:50:21)
2,20 , 2020-2021,17,0,20005,0,Q,1,24,5,1,9,333,03/09/2020,22/09/2020, 	(04-FEB-2026 11:50:21)
2,20 , 2020-2021,17,0,20005,0,Q,1,24,5,1,9,334,20/09/2020,08/10/2020, 	(04-FEB-2026 11:50:21)
2,20 , 2021-2022,19,0,25003,0,Q,1,24,5,1,9,213,06/12/2021,24/01/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2022-2023,19,0,25003,0,Q,1,24,5,1,11,147,13/10/2022,26/11/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2023-2024,19,0,25003,0,Q,1,24,5,1,9,43,05/07/2023,22/08/2023, 	(04-FEB-2026 11:50:21)
2,20 , 2022-2023,19,0,25003,0,Q,1,24,5,1,9,155,13/10/2022,26/11/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2021-2022,19,0,25003,0,Q,1,24,5,1,9,236,01/02/2022,06/03/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2021-2022,19,0,25003,0,Q,1,24,5,1,9,237,01/02/2022,06/03/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2022-2023,19,0,25003,0,Q,1,24,5,1,9,160,13/10/2022,26/11/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2021-2022,19,0,25003,0,Q,1,24,5,1,9,228,06/12/2021,24/01/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2022-2023,19,0,25003,0,Q,1,24,5,1,11,84,04/07/2022,02/08/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2022-2023,19,0,25003,0,Q,1,24,5,1,11,86,27/07/2022,28/09/2022, 	(04-FEB-2026 11:50:21)
2,20 , 2022-2023,19,0,25003,0,Q,1,24,5,1,9,11,27/03/2022,02/05/2022, 	(04-FEB-2026 11:50:21)
