

<<START>>,<<FMS_AGMT_MST>>,, 	(03-MAR-2025 12:40:22)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP
2,1,F,1,2, 	(03-MAR-2025 12:40:22)
2,1,F,0,3, 	(03-MAR-2025 12:40:22)
2,1,F,0,2, 	(03-MAR-2025 12:40:22)
2,1,F,0,4, 	(03-MAR-2025 12:40:22)
2,1,F,0,1, 	(03-MAR-2025 12:40:22)
2,2,F,0,7, 	(03-MAR-2025 12:40:22)
2,2,F,0,3, 	(03-MAR-2025 12:40:22)
2,2,F,0,5, 	(03-MAR-2025 12:40:22)
2,2,F,0,1, 	(03-MAR-2025 12:40:22)
2,2,F,0,6, 	(03-MAR-2025 12:40:22)
2,2,F,0,2, 	(03-MAR-2025 12:40:22)
2,2,F,0,4, 	(03-MAR-2025 12:40:22)
2,3,F,0,1, 	(03-MAR-2025 12:40:22)
2,3,F,0,2, 	(03-MAR-2025 12:40:22)
2,3,F,1,1, 	(03-MAR-2025 12:40:22)
2,3,F,3,1, 	(03-MAR-2025 12:40:22)
2,3,F,0,3, 	(03-MAR-2025 12:40:22)
2,3,F,2,1, 	(03-MAR-2025 12:40:22)
2,4,F,0,1, 	(03-MAR-2025 12:40:22)
2,4,F,1,2, 	(03-MAR-2025 12:40:22)
2,4,F,0,2, 	(03-MAR-2025 12:40:22)
2,0,F,0,1, 	(03-MAR-2025 12:40:22)
2,0 , F,0,1, 	(03-MAR-2025 12:40:22)	 (Not Inserted)
2,217,F,0,1, 	(03-MAR-2025 12:40:22)
2,6,F,0,1, 	(03-MAR-2025 12:40:22)
2,7,F,0,1, 	(03-MAR-2025 12:40:22)
2,7,F,0,2, 	(03-MAR-2025 12:40:22)
2,8,F,0,1, 	(03-MAR-2025 12:40:22)
2,218,F,0,1, 	(03-MAR-2025 12:40:23)
2,225,F,0,1, 	(03-MAR-2025 12:40:23)
2,0 , F,0,1, 	(03-MAR-2025 12:40:23)	 (Not Inserted)
2,10,F,0,1, 	(03-MAR-2025 12:40:23)
2,11,F,0,1, 	(03-MAR-2025 12:40:23)
2,280,F,0,2, 	(03-MAR-2025 12:40:23)
2,280,F,1,1, 	(03-MAR-2025 12:40:23)
2,280,F,0,1, 	(03-MAR-2025 12:40:23)
2,12,F,0,1, 	(03-MAR-2025 12:40:23)
2,13,F,0,2, 	(03-MAR-2025 12:40:23)
2,13,F,0,1, 	(03-MAR-2025 12:40:23)
2,14,F,0,1, 	(03-MAR-2025 12:40:23)
2,14,F,0,2, 	(03-MAR-2025 12:40:23)
2,269,F,0,1, 	(03-MAR-2025 12:40:23)
2,15,F,0,1, 	(03-MAR-2025 12:40:23)
2,15,F,2,1, 	(03-MAR-2025 12:40:23)
2,15,F,0,2, 	(03-MAR-2025 12:40:23)
2,15,F,1,1, 	(03-MAR-2025 12:40:23)
2,16,F,0,1, 	(03-MAR-2025 12:40:23)
2,17,F,0,1, 	(03-MAR-2025 12:40:23)
2,18,F,0,1, 	(03-MAR-2025 12:40:23)
2,228,F,0,1, 	(03-MAR-2025 12:40:23)
2,160,F,0,1, 	(03-MAR-2025 12:40:23)
2,20,F,3,2, 	(03-MAR-2025 12:40:23)
2,20,F,0,1, 	(03-MAR-2025 12:40:23)
2,20,F,1,2, 	(03-MAR-2025 12:40:23)
2,20,F,2,2, 	(03-MAR-2025 12:40:23)
2,20,F,0,3, 	(03-MAR-2025 12:40:23)
2,20,F,0,2, 	(03-MAR-2025 12:40:23)
2,154,F,0,1, 	(03-MAR-2025 12:40:23)
2,21,F,0,1, 	(03-MAR-2025 12:40:23)
2,22,F,0,1, 	(03-MAR-2025 12:40:23)
2,23,F,0,1, 	(03-MAR-2025 12:40:23)
2,24,F,0,1, 	(03-MAR-2025 12:40:23)
2,25,F,0,1, 	(03-MAR-2025 12:40:23)
2,29,F,0,1, 	(03-MAR-2025 12:40:23)
2,31,F,0,1, 	(03-MAR-2025 12:40:23)
2,254,F,0,1, 	(03-MAR-2025 12:40:23)
2,207,F,0,1, 	(03-MAR-2025 12:40:23)
2,207,F,0,2, 	(03-MAR-2025 12:40:23)
2,207,F,0,3, 	(03-MAR-2025 12:40:23)

TOTAL DATA IN EXCEL : ,69,,,,,, 	(03-MAR-2025 12:40:23)
 

TOTAL DATA INSERTED : ,67,,,,,, 	(03-MAR-2025 12:40:23)
 

TOTAL SKIPPED DATA ,2,,,,,, 	(03-MAR-2025 12:40:23)
 
<<END>>,<<FMS_AGMT_MST>>,,,,,, 	(03-MAR-2025 12:40:23)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP
2,1,F,0,3,45,1, 	(03-MAR-2025 12:40:23)
**********AutomationEMS Error  (03-MAR-2025 12:40:23) **********
java.sql.SQLException: Statement closed.

