

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(26-FEB-2025 12:38:29)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 ,1 , RIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,2 , MGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,3 , GSPCL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,4 , Gail , 1,C, 	(26-FEB-2025 12:38:29)
2 ,4 , Gail , 2,R, 	(26-FEB-2025 12:38:29)
2 ,282 , BPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,283 , EPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,217 , ESL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,5 , NTPC , 1,C, 	(26-FEB-2025 12:38:29)
2 ,6 , KRIBHCO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,7 , DFPCL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,8 , AIGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,218 , ESEZ , 1,C, 	(26-FEB-2025 12:38:29)
2 ,284 , KSFL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,242 , MAHAGENCO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,249 , NPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,9 , SIGIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,225 , VIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,285 , VSIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,10 , GGCL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,11 , TPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,280 , WMSL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,12 , MNGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,13 , IGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,14 , BPCL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,14 , BPCL , 2,T, 	(26-FEB-2025 12:38:29)
2 ,269 , TEL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,15 , HPCL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,15 , HPCL , 2,T, 	(26-FEB-2025 12:38:29)
2 ,16 , JSW , 1,C, 	(26-FEB-2025 12:38:29)
2 ,17 , BGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,18 , GSFC , 1,C, 	(26-FEB-2025 12:38:29)
2 ,228 , H-Energy , 1,C, 	(26-FEB-2025 12:38:29)
2 ,160 , SIMPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,19 , ATGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,20 , AMNS , 1,C, 	(26-FEB-2025 12:38:29)
2 ,20 , AMNS , 2,T, 	(26-FEB-2025 12:38:29)
2 ,286 , SEMTPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,286 , SEMTPL , 2,T, 	(26-FEB-2025 12:38:29)
2 ,21 , SGIPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,22 , VGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,23 , PGPGPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,24 , HCG , 1,C, 	(26-FEB-2025 12:38:29)
2 ,25 , GGL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,26 , CFC , 1,C, 	(26-FEB-2025 12:38:29)
2 ,27 , IFFCO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,28 , HGL-RLNG , 1,C, 	(26-FEB-2025 12:38:29)
2 ,29 , PipeInfra , 1,C, 	(26-FEB-2025 12:38:29)
2 ,29 , PipeInfra , 2,R, 	(26-FEB-2025 12:38:29)
2 ,30 , NFL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,31 , HSIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,288 , VVF , 1,C, 	(26-FEB-2025 12:38:29)
2 ,32 , KFL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,197 , BIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,254 , RIPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,207 , CP , 1,C, 	(26-FEB-2025 12:38:29)
2 ,289 , HHFG DLNG , 1,C, 	(26-FEB-2025 12:38:29)
2 ,187 , VIDUWIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,33 , AGP CGD , 1,C, 	(26-FEB-2025 12:38:29)
2 ,34 , MINDA , 1,C, 	(26-FEB-2025 12:38:29)
2 ,238 , LEIPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,35 , SCHOTT , 1,C, 	(26-FEB-2025 12:38:29)
2 ,36 , HIL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,37 , HCGD-B , 1,C, 	(26-FEB-2025 12:38:29)
2 ,198 , BIPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,220 , EXXARO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,257 , STVPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,233 , JGPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,279 , WALLCERA , 1,C, 	(26-FEB-2025 12:38:29)
2 ,193 , ASTIS , 1,C, 	(26-FEB-2025 12:38:29)
2 ,109 , PROTON , 1,C, 	(26-FEB-2025 12:38:29)
2 ,192 , ANTIQUE , 1,C, 	(26-FEB-2025 12:38:29)
2 ,290 , ACER , 1,C, 	(26-FEB-2025 12:38:29)
2 ,38 , KAJARIA , 1,C, 	(26-FEB-2025 12:38:29)
2 ,222 , GASGROWS , 1,C, 	(26-FEB-2025 12:38:29)
2 ,39 , SISECAM , 1,C, 	(26-FEB-2025 12:38:29)
2 ,40 , ATPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,41 , OPAL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,234 , JKPAPER , 1,C, 	(26-FEB-2025 12:38:29)
2 ,263 , STL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,273 , UEPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,206 , CELLO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,204 , CALDERYS , 1,C, 	(26-FEB-2025 12:38:29)
2 ,42 , RCF , 1,C, 	(26-FEB-2025 12:38:29)
2 ,201 , BWRL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,235 , KRYO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,276 , VIRGO , 1,C, 	(26-FEB-2025 12:38:29)
2 ,196 , BLPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,223 , GIPSKARTON , 1,C, 	(26-FEB-2025 12:38:29)
2 ,270 , TGPL , 1,T, 	(26-FEB-2025 12:38:29)
2 ,116 , SELNG , 1,T, 	(26-FEB-2025 12:38:29)
2 ,256 , SITME , 1,T, 	(26-FEB-2025 12:38:29)
2 ,291 , DT , 1,T, 	(26-FEB-2025 12:38:29)
2 ,268 , ThirdParty , 1,T, 	(26-FEB-2025 12:38:29)
2 ,152 , GUNSPL , 1,T, 	(26-FEB-2025 12:38:29)
2 ,1 , RIL , 2,T, 	(26-FEB-2025 12:38:29)
2 ,43 , BP , 1,T, 	(26-FEB-2025 12:38:29)
2 ,295 , AMNS-T , 1,T, 	(26-FEB-2025 12:38:29)
2 , 1 , RIL , 2,T, 	(26-FEB-2025 12:38:29)	 (Not Inserted)
2 ,45 , GSPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,45 , GSPL , 2,R, 	(26-FEB-2025 12:38:29)
2 ,46 , TGLPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,47 , TGBPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,48 , BGEPL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,231 , IMCL , 1,C, 	(26-FEB-2025 12:38:29)
2 ,49 , VVF India , 1,C, 	(26-FEB-2025 12:38:29)
2 ,50 , GNFC , 1,C, 	(26-FEB-2025 12:38:29)
2 ,140 , MEGHHQX , 1,C, 	(26-FEB-2025 12:38:29)
2 ,51 , ONGC , 1,T, 	(26-FEB-2025 12:38:29)
2 ,52 , GLIL , 1,C, 	(26-FEB-2025 12:38:29)
