
<<START>>,<<FMS_SUPPLY_CONT_FILLING_STN>>,,,,,, 	(28-MAY-2025 11:36:21)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,FILL_STATION_CD,TIMESTAMP,
2,VIRGO,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,CP,1,0,2,0,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,3,1,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,5,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,5,1,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,5,1,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,5,0,F,1, 	(28-MAY-2025 11:36:21)
2,BWRL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,GIPSKARTON,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,BWRL,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIPL,1,0,2,1,F,1, 	(28-MAY-2025 11:36:21)
2,RIPL,1,0,3,1,F,1, 	(28-MAY-2025 11:36:21)
2,SGIPL,1,0,3,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,2,0,F,1, 	(28-MAY-2025 11:36:21)
2,JKPAPER,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,IMCL,1,0,2,0,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,11,0,F,1, 	(28-MAY-2025 11:36:21)
2,IMCL,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,IMCL,1,0,2,1,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,2,1,F,1, 	(28-MAY-2025 11:36:21)
2,EXXARO,1,0,3,1,F,1, 	(28-MAY-2025 11:36:21)
2,GIPSKARTON,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,8,1,F,1, 	(28-MAY-2025 11:36:21)
2,MINDA,1,0,3,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,7,1,F,1, 	(28-MAY-2025 11:36:21)
2,SGIPL,1,0,3,1,F,1, 	(28-MAY-2025 11:36:21)
2,SGIPL,1,0,4,1,F,1, 	(28-MAY-2025 11:36:21)
2,AGPCGIN,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,VIGASLD,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,CELLO,1,0,6,1,F,4, 	(28-MAY-2025 11:36:21)
2,JKPAPER,1,0,4,1,F,1, 	(28-MAY-2025 11:36:21)
2,AGP CGD,1,0,6,2,F,1, 	(28-MAY-2025 11:36:21)
2,MINDA,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,7,0,F,1, 	(28-MAY-2025 11:36:21)
2,EXXARO,1,0,10,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIGASLD,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,VISHPRI,1,0,2,0,F,1, 	(28-MAY-2025 11:36:21)
2,COMFIND,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,BIPL,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,TGBPL,1,0,7,0,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,LEIPL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,CP,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIPL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,AGP CGD,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,SGIPL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,CP,1,0,1,2,F,1, 	(28-MAY-2025 11:36:21)
2,SCHOTT,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,RIPL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIDUWIL,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,3,0,F,1, 	(28-MAY-2025 11:36:21)
2,AGP CGD,1,0,3,0,F,1, 	(28-MAY-2025 11:36:21)
2,CELLO,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,MINDA,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,5,0,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,7,0,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,7,0,F,1, 	(28-MAY-2025 11:36:21)
2,EXXARO,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,6,1,F,1, 	(28-MAY-2025 11:36:21)
2,JKPAPER,1,0,5,0,F,1, 	(28-MAY-2025 11:36:21)
2,BWRL,1,0,2,0,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,13,1,F,1, 	(28-MAY-2025 11:36:21)
2,MINDA,1,0,5,0,F,1, 	(28-MAY-2025 11:36:21)
2,TGBPL,1,0,4,0,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,12,1,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,11,0,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,8,1,F,1, 	(28-MAY-2025 11:36:21)
2,TGBPL,1,0,3,1,F,1, 	(28-MAY-2025 11:36:21)
2,HCGPUTE,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,9,1,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,15,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,5,0,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,8,0,F,1, 	(28-MAY-2025 11:36:21)
2,STL,1,0,15,2,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,6,0,F,1, 	(28-MAY-2025 11:36:21)
2,TGBPL,1,0,6,0,F,1, 	(28-MAY-2025 11:36:21)
2,LEIPL,1,0,2,2,F,1, 	(28-MAY-2025 11:36:21)
2,EXXARO,1,0,6,0,F,1, 	(28-MAY-2025 11:36:21)
2,MINDA,1,0,6,0,F,1, 	(28-MAY-2025 11:36:21)
2,TGBPL,1,0,5,0,F,1, 	(28-MAY-2025 11:36:21)
2,GOLDPFG,1,0,1,0,F,1, 	(28-MAY-2025 11:36:21)
2,JKPAPER,1,0,8,0,F,1, 	(28-MAY-2025 11:36:21)
2,AGP CGD,1,0,7,0,F,1, 	(28-MAY-2025 11:36:21)
2,JKPAPER,1,0,8,1,F,1, 	(28-MAY-2025 11:36:21)
2,JKPAPER,1,0,12,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,8,0,F,1, 	(28-MAY-2025 11:36:21)
2,BIPL,1,0,4,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,12,0,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,10,1,F,1, 	(28-MAY-2025 11:36:21)
2,EXXARO,1,0,9,0,F,1, 	(28-MAY-2025 11:36:21)
2,EXXARO,1,0,9,1,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,12,0,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,12,1,F,1, 	(28-MAY-2025 11:36:21)
2,VIRGO,1,0,11,1,F,1, 	(28-MAY-2025 11:36:21)
2,COMFIND,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,BIL,1,0,14,1,F,1, 	(28-MAY-2025 11:36:21)
2,AGP CGD,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,SCHOTT,1,0,1,1,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,3,0,F,1, 	(28-MAY-2025 11:36:21)
2,SCHOTT,1,0,2,1,F,1, 	(28-MAY-2025 11:36:21)
2,VIDUWIL,1,0,1,2,F,1, 	(28-MAY-2025 11:36:21)
2,HALHFGL,1,0,4,1,F,1, 	(28-MAY-2025 11:36:21)
