

<<START>>,<<FMS_COUNTERPARTY_MST>>,,, 	(05-APR-2025 16:24:40)
 
COUNTERPARTY_CD,EFF_DT,CATEGORY,WEB_ADDR,TIMESTAMP
'RIL&@&1',14/09/2008 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'MGL&@&2',16/07/2009 00:00:00 , 3rd Party , 'www.mahanagargas.com' ,  	(05-APR-2025 16:24:40)
'GSPCL&@&3',24/03/2005 00:00:00 , 3rd Party , 'www.gspcgroup.com' ,  	(05-APR-2025 16:24:40)
'Gail&@&4',08/03/2007 00:00:00 , null , 'null' ,  	(05-APR-2025 16:24:40)
'BPL&@&5',09/12/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'BPL&@&5',09/12/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'EPL&@&6',09/12/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'EPL&@&6',09/12/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'ESL&@&7',09/12/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'ESL&@&7',09/12/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'NTPC&@&8',01/06/2006 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'KRIBHCO&@&9',05/12/2007 00:00:00 , 3rd Party , '101-103  Abhijeet - II  Above Standard Chartered Bank ' ,  	(05-APR-2025 16:24:40)
'DFPCL&@&10',03/12/2007 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'AIGL&@&11',22/07/2009 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'ESEZ&@&12',04/04/2008 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'KSFL&@&13',20/12/2007 00:00:00 , null , 'null' ,  	(05-APR-2025 16:24:40)
'MAHAGENCO&@&14',16/04/2008 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'NPL&@&15',28/02/2008 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'SIGIL&@&16',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'SIGIL&@&16',01/04/2009 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'VIL&@&17',12/12/2007 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'VSIL&@&18',23/05/2009 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'GGCL&@&19',11/05/2012 00:00:00 , 3rd Party , 'www.gujaratgas.com' ,  	(05-APR-2025 16:24:40)
'TPL&@&20',04/08/2012 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'WMSL&@&21',31/05/2011 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'MNGL&@&22',20/06/2013 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'IGL&@&23',04/02/2011 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'BPCL&@&24',24/07/2014 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'TEL&@&25',06/08/2014 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'HPCL&@&26',17/11/2010 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'JSW&@&27',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'JSW&@&27',25/11/2014 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'BGL&@&28',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'BGL&@&28',28/07/2016 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
'GSFC&@&29',14/03/2016 00:00:00 , 3rd Party , 'www.gsfcltd.com' ,  	(05-APR-2025 16:24:40)
'H-Energy&@&30',14/11/2016 00:00:00 , 3rd Party , 'null' ,  	(05-APR-2025 16:24:40)
