

<<START>>,<<FMS_COUNTERPARTY_MST>>,,, 	(20-FEB-2025 16:55:15)
 
COUNTERPARTY_CD,EFF_DT,CATEGORY,WEB_ADDR,TIMESTAMP
'AVGL&@&1',14/09/2008 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'MGL&@&2',16/07/2009 00:00:00 , 3rd Party , 'www.mahanagargas.com' ,  	(20-FEB-2025 16:55:15)
'GSPCL&@&3',24/03/2005 00:00:00 , 3rd Party , 'www.gspcgroup.com' ,  	(20-FEB-2025 16:55:15)
'Gail&@&4',08/03/2007 00:00:00 , null , 'null' ,  	(20-FEB-2025 16:55:15)
'BPL&@&5',09/04/2010 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'EPL&@&6',09/04/2010 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'ESL&@&7',01/04/2006 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'NTPC&@&8',01/06/2006 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'KRIBHCO&@&9',05/12/2007 00:00:00 , 3rd Party , '101-103  Abhijeet - II  Above Standard Chartered Bank ' ,  	(20-FEB-2025 16:55:15)
'DFPCL&@&10',03/12/2007 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'AIGL&@&11',22/07/2009 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'ESEZ&@&12',04/04/2008 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'KSFL&@&13',20/12/2007 00:00:00 , null , 'null' ,  	(20-FEB-2025 16:55:15)
'MAHAGENCO&@&14',16/04/2008 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'NPL&@&15',28/02/2008 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'SIGIL&@&16',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'SIGIL&@&16',01/04/2009 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'VIL&@&17',12/12/2007 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'VSIL&@&18',23/05/2009 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'GGCL&@&19',11/05/2012 00:00:00 , 3rd Party , 'www.gujaratgas.com' ,  	(20-FEB-2025 16:55:15)
'TPL&@&20',04/08/2012 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'WMSL&@&21',31/05/2011 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'MNGL&@&22',20/06/2013 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'IGL&@&23',04/02/2011 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:15)
'BPCL&@&24',24/07/2014 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'TEL&@&25',06/08/2014 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'HPCL&@&26',17/11/2010 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'JSW&@&27',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'JSW&@&27',25/11/2014 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'BGL&@&28',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'BGL&@&28',28/07/2016 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'GSFC&@&29',14/03/2016 00:00:00 , 3rd Party , 'www.gsfcltd.com' ,  	(20-FEB-2025 16:55:16)
'H-Energy&@&30',14/11/2016 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'SIMPL&@&31',11/10/2022 00:00:00 , Group , 'null' ,  	(20-FEB-2025 16:55:16)
'SIMPL&@&31',14/11/2016 00:00:00 , Group , 'null' ,  	(20-FEB-2025 16:55:16)
'ATGL&@&32',11/10/2022 00:00:00 , 3rd Party , 'www.adani.com' ,  	(20-FEB-2025 16:55:16)
'ATGL&@&32',13/01/2017 00:00:00 , 3rd Party , 'www.adani.com' ,  	(20-FEB-2025 16:55:16)
'AMNS&@&33',26/08/2006 00:00:00 , 3rd Party , 'null' ,  	(20-FEB-2025 16:55:16)
'SEMTIPL&@&34',28/07/2017 00:00:00 , Group , 'null' ,  	(20-FEB-2025 16:55:16)
