
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(30-MAY-2025 16:08:09)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,TIMESTAMP,
SGIPL,1,0,1,0,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,1,1,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,3,0,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,2,0,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,2,1,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,4,0,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,5,0,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,6,0,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,3,1,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,4,1,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,6,1,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,5,1,F, 	(30-MAY-2025 16:08:09)
SGIPL,1,0,7,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,3,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,4,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,5,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,3,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,4,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,1,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,7,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,5,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,2,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,1,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,2,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,13,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,14,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,12,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,13,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,14,2,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,15,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,16,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,17,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,18,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,19,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,8,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,9,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,9,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,8,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,12,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,14,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,7,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,10,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,10,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,11,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,11,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,16,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,15,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,17,0,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,19,1,F, 	(30-MAY-2025 16:08:09)
BIL,1,0,18,0,F, 	(30-MAY-2025 16:08:09)
RIPL,1,0,3,0,F, 	(30-MAY-2025 16:08:09)
RIPL,1,0,1,0,F, 	(30-MAY-2025 16:08:09)
RIPL,1,0,3,1,F, 	(30-MAY-2025 16:08:09)
RIPL,1,0,2,0,F, 	(30-MAY-2025 16:08:09)
RIPL,1,0,1,1,F, 	(30-MAY-2025 16:08:09)
RIPL,1,0,2,1,F, 	(30-MAY-2025 16:08:09)
CP,1,0,1,1,F, 	(30-MAY-2025 16:08:09)
CP,1,0,1,4,F, 	(30-MAY-2025 16:08:09)
CP,1,0,3,1,F, 	(30-MAY-2025 16:08:09)
CP,1,0,2,1,F, 	(30-MAY-2025 16:08:09)
CP,1,0,1,0,F, 	(30-MAY-2025 16:08:09)
CP,1,0,1,2,F, 	(30-MAY-2025 16:08:09)
CP,1,0,3,0,F, 	(30-MAY-2025 16:08:09)
CP,1,0,2,0,F, 	(30-MAY-2025 16:08:09)
CP,1,0,1,3,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,5,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,3,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,1,2,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,2,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,6,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,2,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,6,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,4,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,5,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,7,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,7,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,1,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,1,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,4,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,3,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,10,2,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,8,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,10,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,11,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,12,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,13,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,17,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,9,0,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,11,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,9,1,F, 	(30-MAY-2025 16:08:09)
HALHFGL,1,0,10,1,F, 	(30-MAY-2025 16:08:09)
