
<<START>>,<<LOG_SUPPLY_CONT_MST>>,,, 	(28-APR-2025 12:02:26)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
Gail,K,4, 	(28-APR-2025 12:02:28)
Gail,K,4, 	(28-APR-2025 12:02:28)
Gail,K,4, 	(28-APR-2025 12:02:28)
Gail,K,4, 	(28-APR-2025 12:02:28)
Gail,K,4, 	(28-APR-2025 12:02:28)
Gail,K,4, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:28)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,L,0, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
NTPC,K,8, 	(28-APR-2025 12:02:29)
