
<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(24-FEB-2025 11:53:32)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
RIL,1,C,1,14/09/2008 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,1,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,1,01/10/2024 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,2,14/09/2008 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,2,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,3,14/09/2008 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,3,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,3,16/06/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,4,14/09/2008 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,4,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,5,14/09/2008 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,5,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,6,14/09/2008 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,6,24/04/2009 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,24/04/2009 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,01/04/2011 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,16/06/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,10/01/2018 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,21/01/2018 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,31/01/2018 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,7,29/05/2018 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,8,01/01/2013 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,8,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,9,01/09/2013 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,9,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,10,26/09/2013 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,11,01/01/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,11,01/03/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,12,01/01/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,12,01/03/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,13,01/07/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,14,01/07/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,14,31/01/2018 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,14,29/05/2018 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,15,01/01/2020 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,15,01/02/2020 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,16,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,17,16/02/2017 00:00:00, 	(24-FEB-2025 11:53:32)
RIL,1,C,18,01/10/2024 00:00:00, 	(24-FEB-2025 11:53:32)
MGL,2,C,1,16/07/2009 00:00:00, 	(24-FEB-2025 11:53:32)
GSPCL,3,C,1,24/03/2005 00:00:00, 	(24-FEB-2025 11:53:32)
GSPCL,3,C,1,21/04/2006 00:00:00, 	(24-FEB-2025 11:53:32)
GSPCL,3,C,1,16/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
GSPCL,3,C,2,21/04/2006 00:00:00, 	(24-FEB-2025 11:53:33)
GSPCL,3,C,3,16/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,1,08/03/2007 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,2,01/07/2022 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,2,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,3,01/07/2022 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,4,01/06/2023 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,5,01/06/2023 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,5,01/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,6,01/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,7,01/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
Gail,4,C,8,28/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
ESL,7,C,1,01/04/2006 00:00:00, 	(24-FEB-2025 11:53:33)
ESL,7,C,1,26/08/2006 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,2,01/06/2006 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,2,18/11/2006 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,3,01/06/2006 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,3,27/01/2007 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,4,27/01/2007 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,5,27/01/2007 00:00:00, 	(24-FEB-2025 11:53:33)
NTPC,8,C,6,27/01/2007 00:00:00, 	(24-FEB-2025 11:53:33)
KRIBHCO,9,C,1,05/12/2007 00:00:00, 	(24-FEB-2025 11:53:33)
DFPCL,10,C,1,03/12/2007 00:00:00, 	(24-FEB-2025 11:53:33)
AIGL,11,C,1,22/07/2009 00:00:00, 	(24-FEB-2025 11:53:33)
ESEZ,12,C,1,04/04/2008 00:00:00, 	(24-FEB-2025 11:53:33)
KSFL,13,C,1,20/12/2007 00:00:00, 	(24-FEB-2025 11:53:33)
MAHAGENCO,14,C,1,16/04/2008 00:00:00, 	(24-FEB-2025 11:53:33)
NPL,15,C,1,28/02/2008 00:00:00, 	(24-FEB-2025 11:53:33)
SIGIL,16,C,1,01/04/2009 00:00:00, 	(24-FEB-2025 11:53:33)
SIGIL,16,C,1,01/04/2009 00:00:00, 	(24-FEB-2025 11:53:33)
VIL,17,C,1,12/12/2007 00:00:00, 	(24-FEB-2025 11:53:33)
TPL,20,C,1,04/08/2012 00:00:00, 	(24-FEB-2025 11:53:33)
TPL,20,C,1,20/12/2018 00:00:00, 	(24-FEB-2025 11:53:33)
WMSL,21,C,1,31/05/2011 00:00:00, 	(24-FEB-2025 11:53:33)
WMSL,21,C,1,25/11/2014 00:00:00, 	(24-FEB-2025 11:53:33)
MNGL,22,C,1,20/06/2013 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,1,04/02/2011 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,2,04/02/2011 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,2,01/04/2024 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,3,04/02/2011 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,4,01/10/2022 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,5,01/10/2022 00:00:00, 	(24-FEB-2025 11:53:33)
IGL,23,C,6,26/02/2024 00:00:00, 	(24-FEB-2025 11:53:33)
BPCL,24,C,1,24/07/2014 00:00:00, 	(24-FEB-2025 11:53:33)
BPCL,24,C,2,24/07/2014 00:00:00, 	(24-FEB-2025 11:53:33)
BPCL,24,C,2,23/02/2023 00:00:00, 	(24-FEB-2025 11:53:33)
BPCL,24,C,3,24/07/2014 00:00:00, 	(24-FEB-2025 11:53:33)
BPCL,24,C,4,25/08/2022 00:00:00, 	(24-FEB-2025 11:53:33)
BPCL,24,T,1,02/08/2022 00:00:00, 	(24-FEB-2025 11:53:33)
TEL,25,C,1,06/08/2014 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,1,17/11/2010 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,1,16/09/2014 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,1,01/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,1,15/05/2024 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,1,01/01/2025 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,2,13/02/2015 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,3,01/10/2021 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,4,18/03/2023 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,5,16/07/2023 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,C,5,29/07/2023 00:00:00, 	(24-FEB-2025 11:53:33)
HPCL,26,T,1,01/01/2020 00:00:00, 	(24-FEB-2025 11:53:33)
JSW,27,C,1,31/05/2011 00:00:00, 	(24-FEB-2025 11:53:33)
JSW,27,C,1,25/11/2014 00:00:00, 	(24-FEB-2025 11:53:33)
JSW,27,C,1,31/05/2011 00:00:00, 	(24-FEB-2025 11:53:33)
JSW,27,C,1,25/11/2014 00:00:00, 	(24-FEB-2025 11:53:33)
BGL,28,C,1,28/07/2016 00:00:00, 	(24-FEB-2025 11:53:33)
BGL,28,C,1,28/07/2016 00:00:00, 	(24-FEB-2025 11:53:33)
GSFC,29,C,1,14/03/2016 00:00:00, 	(24-FEB-2025 11:53:33)
GSFC,29,C,2,01/01/2023 00:00:00, 	(24-FEB-2025 11:53:33)
H-Energy,30,C,1,14/11/2016 00:00:00, 	(24-FEB-2025 11:53:33)
H-Energy,30,C,2,14/11/2016 00:00:00, 	(24-FEB-2025 11:53:33)
SIMPL,31,C,1,14/11/2016 00:00:00, 	(24-FEB-2025 11:53:33)
SIMPL,31,C,2,14/11/2016 00:00:00, 	(24-FEB-2025 11:53:33)
SIMPL,31,C,1,14/11/2016 00:00:00, 	(24-FEB-2025 11:53:33)
SIMPL,31,C,2,14/11/2016 00:00:00, 	(24-FEB-2025 11:53:33)
ATGL,32,C,1,13/01/2017 00:00:00, 	(24-FEB-2025 11:53:33)
ATGL,32,C,2,06/02/2024 00:00:00, 	(24-FEB-2025 11:53:33)
ATGL,32,C,1,13/01/2017 00:00:00, 	(24-FEB-2025 11:53:33)
ATGL,32,C,2,06/02/2024 00:00:00, 	(24-FEB-2025 11:53:33)
AMNS,33,C,1,26/08/2006 00:00:00, 	(24-FEB-2025 11:53:33)
AMNS,33,C,1,18/01/2012 00:00:00, 	(24-FEB-2025 11:53:33)
AMNS,33,C,2,18/01/2012 00:00:00, 	(24-FEB-2025 11:53:33)
AMNS,33,C,4,01/12/2023 00:00:00, 	(24-FEB-2025 11:53:33)
AMNS,33,T,1,01/01/2020 00:00:00, 	(24-FEB-2025 11:53:33)
AMNS,33,T,2,01/10/2022 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,1,28/07/2017 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,1,01/05/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,1,16/05/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,2,28/07/2017 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,3,28/07/2017 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,3,16/10/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,4,01/03/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,4,01/05/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,5,01/03/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,6,01/05/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,7,01/06/2023 00:00:00, 	(24-FEB-2025 11:53:33)
SEMTPL,34,C,8,01/07/2023 00:00:00, 	(24-FEB-2025 11:53:33)
