
<<START>>,<<FMS_AGMT_MST>>,, 	(16-APR-2025 15:23:48)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
2,MINDA,D,1 , 0, 	(16-APR-2025 15:23:48)
2,GASGROWS,D,1 , 0, 	(16-APR-2025 15:23:48)
2,ACER,D,1 , 0, 	(16-APR-2025 15:23:48)
2,KAJARIA,D,1 , 0, 	(16-APR-2025 15:23:48)
2,GIPSKARTON,D,1 , 0, 	(16-APR-2025 15:23:48)
2,CALDERYS,D,1 , 0, 	(16-APR-2025 15:23:48)
2,KRYO,D,1 , 0, 	(16-APR-2025 15:23:48)
2,VISHPRI,D,1 , 0, 	(16-APR-2025 15:23:48)
2,COMFIND,D,1 , 0, 	(16-APR-2025 15:23:48)
2,AGP CGD,D,1 , 0, 	(16-APR-2025 15:23:48)
2,STL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,BLPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,LEIPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,SCHOTT,D,1 , 0, 	(16-APR-2025 15:23:48)
2,JKPAPER,D,1 , 0, 	(16-APR-2025 15:23:48)
2,IMCL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,HHFG DLNG,D,1 , 0, 	(16-APR-2025 15:23:48)
2,CELLO,D,1 , 0, 	(16-APR-2025 15:23:48)
2,VIRGO,D,1 , 0, 	(16-APR-2025 15:23:48)
2,UGEL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,GLIL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,SGI-AP,D,1 , 0, 	(16-APR-2025 15:23:48)
2,SGIPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,HCGPUTE,D,1 , 0, 	(16-APR-2025 15:23:48)
2,AGPCGIN,D,1 , 0, 	(16-APR-2025 15:23:48)
2,RIPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,BIL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,VWPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,BHOGATD,D,1 , 0, 	(16-APR-2025 15:23:48)
2,ATPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,BWRL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,MEIL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,GOLDPFG,D,1 , 0, 	(16-APR-2025 15:23:48)
2,EXXARO,D,1 , 0, 	(16-APR-2025 15:23:48)
2,BIPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,JGPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,ANTIQUE,D,1 , 0, 	(16-APR-2025 15:23:48)
2,ASTIS,D,1 , 0, 	(16-APR-2025 15:23:48)
2,KINGASP,D,1 , 0, 	(16-APR-2025 15:23:48)
2,PROTON,D,1 , 0, 	(16-APR-2025 15:23:48)
2,STVPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,WALLCERA,D,1 , 0, 	(16-APR-2025 15:23:48)
2,UEPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,KUTCHCL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,VIGASLD,D,1 , 0, 	(16-APR-2025 15:23:48)
2,VIGASLD,D,1 , 0, 	(16-APR-2025 15:23:48)
2,TGBPL,D,1 , 0, 	(16-APR-2025 15:23:48)
2,TGBPL,D,1 , 0, 	(16-APR-2025 15:23:48)

TOTAL DATA EXTRACTED :,48,,  	(16-APR-2025 15:23:48)
 
<<END>>,<<FMS_AGMT_MST>>,, 	(16-APR-2025 15:23:48)
 
