
<<START>>,<<FMS_TRADER_CN_MST>>, 	(03-MAY-2025 13:38:22)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
86, M ,24, 0 , N ,725122, 0 , 	(03-MAY-2025 13:38:23)
86, M ,25, 0 , N ,725123, 0 , 	(03-MAY-2025 13:38:23)
86, M ,26, 0 , N ,725124, 0 , 	(03-MAY-2025 13:38:23)
86, M ,27, 0 , N ,725125, 0 , 	(03-MAY-2025 13:38:23)
86, M ,28, 0 , N ,725126, 0 , 	(03-MAY-2025 13:38:23)
86, M ,29, 0 , N ,725127, 0 , 	(03-MAY-2025 13:38:23)
86, M ,30, 0 , N ,725128, 0 , 	(03-MAY-2025 13:38:23)
86, M ,31, 0 , N ,725129, 0 , 	(03-MAY-2025 13:38:23)
86, M ,32, 0 , N ,725130, 0 , 	(03-MAY-2025 13:38:23)
86, M ,33, 0 , N ,725131, 0 , 	(03-MAY-2025 13:38:23)
86, M ,34, 0 , N ,725132, 0 , 	(03-MAY-2025 13:38:23)
86, M ,35, 0 , N ,725133, 0 , 	(03-MAY-2025 13:38:23)
86, M ,36, 0 , N ,725134, 0 , 	(03-MAY-2025 13:38:23)
86, M ,37, 0 , N ,725135, 0 , 	(03-MAY-2025 13:38:23)
86, M ,38, 0 , N ,725136, 0 , 	(03-MAY-2025 13:38:23)
86, M ,39, 0 , N ,725137, 0 , 	(03-MAY-2025 13:38:23)
86, M ,40, 0 , N ,725138, 0 , 	(03-MAY-2025 13:38:23)
86, M ,41, 0 , N ,725139, 0 , 	(03-MAY-2025 13:38:23)
86, M ,42, 0 , N ,725140, 0 , 	(03-MAY-2025 13:38:23)
86, M ,43, 0 , N ,725141, 0 , 	(03-MAY-2025 13:38:23)
86, M ,44, 0 , N ,725142, 0 , 	(03-MAY-2025 13:38:23)
86, M ,45, 0 , N ,725143, 0 , 	(03-MAY-2025 13:38:23)
86, M ,46, 0 , N ,725144, 0 , 	(03-MAY-2025 13:38:23)
86, M ,47, 0 , N ,725145, 0 , 	(03-MAY-2025 13:38:23)
86, M ,48, 0 , N ,725146, 0 , 	(03-MAY-2025 13:38:23)
86, M ,49, 0 , N ,725147, 0 , 	(03-MAY-2025 13:38:23)
86, M ,50, 0 , N ,725148, 0 , 	(03-MAY-2025 13:38:23)
86, M ,51, 0 , N ,725149, 0 , 	(03-MAY-2025 13:38:23)
86, M ,52, 0 , N ,725150, 0 , 	(03-MAY-2025 13:38:23)
86, M ,53, 0 , N ,725151, 0 , 	(03-MAY-2025 13:38:23)
86, M ,54, 0 , N ,725152, 0 , 	(03-MAY-2025 13:38:23)
86, M ,55, 0 , N ,725153, 0 , 	(03-MAY-2025 13:38:23)
86, M ,56, 0 , N ,725154, 0 , 	(03-MAY-2025 13:38:23)
86, M ,57, 0 , N ,725155, 0 , 	(03-MAY-2025 13:38:23)
86, M ,58, 0 , N ,725156, 0 , 	(03-MAY-2025 13:38:23)
86, M ,59, 0 , N ,725157, 0 , 	(03-MAY-2025 13:38:23)
86, M ,60, 0 , N ,725158, 0 , 	(03-MAY-2025 13:38:23)
86, M ,61, 0 , N ,725159, 0 , 	(03-MAY-2025 13:38:23)
86, M ,62, 0 , N ,725160, 0 , 	(03-MAY-2025 13:38:23)
86, M ,63, 0 , N ,725161, 0 , 	(03-MAY-2025 13:38:23)
86, M ,64, 0 , N ,725162, 0 , 	(03-MAY-2025 13:38:23)
86, M ,65, 0 , N ,725163, 0 , 	(03-MAY-2025 13:38:23)
86, M ,66, 0 , N ,725164, 0 , 	(03-MAY-2025 13:38:23)
86, M ,67, 0 , N ,725165, 0 , 	(03-MAY-2025 13:38:23)
86, M ,68, 0 , N ,725166, 0 , 	(03-MAY-2025 13:38:23)
86, M ,69, 0 , N ,725167, 0 , 	(03-MAY-2025 13:38:23)
86, M ,70, 0 , N ,725168, 0 , 	(03-MAY-2025 13:38:23)
86, M ,71, 0 , N ,725169, 0 , 	(03-MAY-2025 13:38:23)
86, M ,72, 0 , N ,725170, 0 , 	(03-MAY-2025 13:38:23)
86, M ,73, 0 , N ,725171, 0 , 	(03-MAY-2025 13:38:23)
86, M ,74, 0 , N ,725172, 0 , 	(03-MAY-2025 13:38:23)
86, M ,75, 0 , N ,725173, 0 , 	(03-MAY-2025 13:38:23)
86, M ,76, 0 , N ,725174, 0 , 	(03-MAY-2025 13:38:23)
86, M ,77, 0 , N ,725175, 0 , 	(03-MAY-2025 13:38:23)
86, M ,78, 0 , N ,725176, 0 , 	(03-MAY-2025 13:38:23)
86, M ,79, 0 , N ,725177, 0 , 	(03-MAY-2025 13:38:23)
86, M ,80, 0 , N ,725178, 0 , 	(03-MAY-2025 13:38:23)
86, M ,81, 0 , N ,725179, 0 , 	(03-MAY-2025 13:38:23)
86, M ,82, 0 , N ,725180, 0 , 	(03-MAY-2025 13:38:23)
86, M ,83, 0 , N ,725181, 0 , 	(03-MAY-2025 13:38:23)
86, M ,84, 0 , N ,725182, 0 , 	(03-MAY-2025 13:38:24)
86, M ,85, 0 , N ,725183, 0 , 	(03-MAY-2025 13:38:24)
86, M ,86, 0 , N ,725184, 0 , 	(03-MAY-2025 13:38:24)
86, M ,87, 0 , N ,725185, 0 , 	(03-MAY-2025 13:38:24)
86, M ,88, 0 , N ,725186, 0 , 	(03-MAY-2025 13:38:24)
86, M ,89, 0 , N ,725187, 0 , 	(03-MAY-2025 13:38:24)
86, M ,90, 0 , N ,725188, 0 , 	(03-MAY-2025 13:38:24)
87, M ,2, 0 , N ,725189, 0 , 	(03-MAY-2025 13:38:24)
87, M ,3, 0 , N ,725190, 0 , 	(03-MAY-2025 13:38:24)
87, M ,4, 0 , N ,725191, 0 , 	(03-MAY-2025 13:38:24)
87, M ,5, 0 , N ,725192, 0 , 	(03-MAY-2025 13:38:24)
88, M ,2, 0 , N ,725193, 0 , 	(03-MAY-2025 13:38:24)
88, M ,3, 0 , N ,725194, 0 , 	(03-MAY-2025 13:38:24)
88, M ,4, 0 , N ,725195, 0 , 	(03-MAY-2025 13:38:24)
88, M ,5, 0 , N ,725196, 0 , 	(03-MAY-2025 13:38:24)
88, M ,6, 0 , N ,725197, 0 , 	(03-MAY-2025 13:38:24)
89, M ,2, 0 , N ,725198, 0 , 	(03-MAY-2025 13:38:24)
89, M ,3, 0 , N ,725199, 0 , 	(03-MAY-2025 13:38:24)
90, M ,2, 0 , N ,725200, 0 , 	(03-MAY-2025 13:38:24)
92, M ,2, 0 , N ,725201, 0 , 	(03-MAY-2025 13:38:24)
92, M ,3, 0 , N ,725202, 0 , 	(03-MAY-2025 13:38:24)
92, M ,4, 0 , N ,725203, 0 , 	(03-MAY-2025 13:38:24)
252, M ,2, 0 , N ,725204, 0 , 	(03-MAY-2025 13:38:24)
252, M ,3, 0 , N ,725205, 0 , 	(03-MAY-2025 13:38:24)
252, M ,4, 0 , N ,725206, 0 , 	(03-MAY-2025 13:38:24)
252, M ,5, 0 , N ,725207, 0 , 	(03-MAY-2025 13:38:24)
252, M ,6, 0 , N ,725208, 0 , 	(03-MAY-2025 13:38:24)
252, M ,7, 0 , N ,725209, 0 , 	(03-MAY-2025 13:38:24)
252, M ,8, 0 , N ,725210, 0 , 	(03-MAY-2025 13:38:25)
252, M ,9, 0 , N ,725211, 0 , 	(03-MAY-2025 13:38:25)
252, M ,10, 0 , N ,725212, 0 , 	(03-MAY-2025 13:38:25)
252, M ,11, 0 , N ,725213, 0 , 	(03-MAY-2025 13:38:25)
252, M ,12, 0 , N ,725214, 0 , 	(03-MAY-2025 13:38:25)
252, M ,13, 0 , N ,725215, 0 , 	(03-MAY-2025 13:38:25)
252, M ,14, 0 , N ,725216, 0 , 	(03-MAY-2025 13:38:25)
252, M ,15, 0 , N ,725217, 0 , 	(03-MAY-2025 13:38:25)
252, M ,16, 0 , N ,725218, 0 , 	(03-MAY-2025 13:38:25)
252, M ,17, 0 , N ,725219, 0 , 	(03-MAY-2025 13:38:25)

TOTAL DATA EXTRACTED :,219,  	(03-MAY-2025 13:38:25)
 
<<END>>,<<FMS_TRADER_CN_MST>>, 	(03-MAY-2025 13:38:25)
 
<<START>>,<<FMS_CARGO_SVC_CONT_MST>>, 	(03-MAY-2025 13:38:25)
 
CD,ENTITY_TYPE,CONT_NO,CONT_TYPE,TIMESTAMP
2, S ,325001, Y , 	(03-MAY-2025 13:38:25)
2, S ,325002, Y , 	(03-MAY-2025 13:38:25)
2, S ,325003, Y , 	(03-MAY-2025 13:38:25)
2, H ,125001, H , 	(03-MAY-2025 13:38:25)
2, H ,125002, H , 	(03-MAY-2025 13:38:25)
2, H ,125003, H , 	(03-MAY-2025 13:38:25)

TOTAL DATA EXTRACTED :,6,  	(03-MAY-2025 13:38:25)
 
<<END>>,<<FMS_CARGO_SVC_CONT_MST>>, 	(03-MAY-2025 13:38:25)
 
<<START>>,<<FMS_TRADER_CONT_MST>>, 	(03-MAY-2025 13:38:25)
 
CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONT_TYPE,TIMESTAMP
7,0,0,1,2,K, 	(03-MAY-2025 13:38:26)
7,0,0,1,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,1,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,2,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,2,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,3,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,3,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,4,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,4,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,5,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,5,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,6,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,6,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,7,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,7,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,8,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,8,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,9,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,9,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,10,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,10,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,11,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,12,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,13,2,K, 	(03-MAY-2025 13:38:26)
7,0,0,13,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,13,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,14,2,K, 	(03-MAY-2025 13:38:26)
7,0,0,14,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,14,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,15,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,15,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,16,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,16,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,17,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,17,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,18,1,K, 	(03-MAY-2025 13:38:26)
7,0,0,18,0,K, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,4,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,3,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
7,0,0,1,2,D, 	(03-MAY-2025 13:38:26)
