
<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(09-JUN-2025 15:38:08)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
RIL,1,C,1,14/09/2008 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,1,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,1,01/10/2024 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,2,14/09/2008 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,2,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,3,14/09/2008 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,3,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,3,16/06/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,4,14/09/2008 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,4,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,5,14/09/2008 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,5,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,6,14/09/2008 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,6,24/04/2009 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,24/04/2009 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,01/04/2011 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,16/06/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,10/01/2018 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,21/01/2018 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,31/01/2018 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,7,29/05/2018 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,8,01/01/2013 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,8,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,9,01/09/2013 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,9,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,10,26/09/2013 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,11,01/01/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,11,01/03/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,12,01/01/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,12,01/03/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,13,01/07/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,14,01/07/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,14,31/01/2018 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,14,29/05/2018 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,15,01/01/2020 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,15,01/02/2020 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,16,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,17,16/02/2017 00:00:00, 	(09-JUN-2025 15:38:08)
RIL,1,C,18,01/10/2024 00:00:00, 	(09-JUN-2025 15:38:08)
MGL,2,C,1,16/07/2009 00:00:00, 	(09-JUN-2025 15:38:08)
GSPCL,3,C,1,24/03/2005 00:00:00, 	(09-JUN-2025 15:38:08)
GSPCL,3,C,1,21/04/2006 00:00:00, 	(09-JUN-2025 15:38:08)
GSPCL,3,C,1,16/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
GSPCL,3,C,2,21/04/2006 00:00:00, 	(09-JUN-2025 15:38:08)
GSPCL,3,C,3,16/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,1,08/03/2007 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,2,01/07/2022 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,2,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,3,01/07/2022 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,4,01/06/2023 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,5,01/06/2023 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,5,01/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,6,01/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,7,01/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
Gail,4,C,8,28/05/2024 00:00:00, 	(09-JUN-2025 15:38:08)
ESL,7,C,1,01/04/2006 00:00:00, 	(09-JUN-2025 15:38:08)
ESL,7,C,1,26/08/2006 00:00:00, 	(09-JUN-2025 15:38:08)
NTPC,8,C,1,01/06/2006 00:00:00, 	(09-JUN-2025 15:38:08)
NTPC,8,C,1,18/11/2006 00:00:00, 	(09-JUN-2025 15:38:08)
