
<<START>>,<<FMS_ENTITY_CONTACT_MST>>,, 	(17-FEB-2025 15:31:20)
 
ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TYPE,TIMESTAMP
RIL,1,C,52,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,52,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,5,10/02/2012 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,5,10/02/2012 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,54,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,54,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,32,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,32,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,20,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,20,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,23,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,23,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,17,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,17,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,12,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,12,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,2,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,2,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,3,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,3,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,19,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,19,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,58,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,58,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,14,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,14,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,27,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,27,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,22,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,22,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,16,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,16,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,60,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,60,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,38,03/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,38,03/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,7,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,7,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,21,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,21,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,9,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,9,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,11,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,11,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,28,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,28,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,13,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,13,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,5,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,5,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,10,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,10,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,6,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,6,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,59,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,59,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,24,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,24,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,4,10/02/2012 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,4,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,4,10/02/2012 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,4,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,15,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,15,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,8,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,8,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,26,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,26,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,25,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,25,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,55,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,55,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,53,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,53,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,3,10/02/2012 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,3,10/02/2012 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,29,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,29,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,30,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,30,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,31,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,31,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,33,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,33,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,21/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,01/04/2011 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,01/04/2011 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,34,21/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,35,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,35,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,36,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,36,14/09/2008 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,37,01/01/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,37,01/01/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,38,01/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,38,01/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,39,01/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,39,01/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,40,26/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,40,26/09/2013 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,41,28/02/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,41,28/02/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,42,28/02/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,42,28/02/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,43,01/07/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,43,01/07/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,44,01/07/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,44,01/07/2017 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,45,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,45,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,68,01/06/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,68,01/06/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,69,01/06/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,69,01/06/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,70,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,70,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,71,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,71,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,72,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,72,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,73,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,73,01/07/2021 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,62,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,62,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,65,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,65,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,66,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,66,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,67,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,67,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,51,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,51,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,61,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,61,01/01/2020 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,47,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,47,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
RIL,1,C,48,31/01/2018 00:00:00,RLNG, 	(17-FEB-2025 15:31:21)
