
<<START>>,<<FMS_TRADER_CN_MST>>, 	(17-MAY-2025 18:01:28)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
26, M ,2, 0 , N ,725001, 0 , 	(17-MAY-2025 18:01:28)
33, M ,2, 0 , N ,725002, 0 , 	(17-MAY-2025 18:01:28)
33, M ,3, 0 , N ,725003, 0 , 	(17-MAY-2025 18:01:28)
34, M ,2, 0 , N ,725004, 0 , 	(17-MAY-2025 18:01:28)
34, M ,3, 0 , N ,725005, 0 , 	(17-MAY-2025 18:01:28)
84, M ,2, 0 , N ,725006, 0 , 	(17-MAY-2025 18:01:29)
84, M ,3, 0 , N ,725007, 0 , 	(17-MAY-2025 18:01:29)
84, M ,4, 0 , N ,725008, 0 , 	(17-MAY-2025 18:01:29)
84, M ,5, 0 , N ,725009, 0 , 	(17-MAY-2025 18:01:29)
84, M ,6, 0 , N ,725010, 0 , 	(17-MAY-2025 18:01:29)
84, M ,7, 0 , N ,725011, 0 , 	(17-MAY-2025 18:01:29)
84, M ,8, 0 , N ,725012, 0 , 	(17-MAY-2025 18:01:29)
84, M ,9, 0 , N ,725013, 0 , 	(17-MAY-2025 18:01:29)
84, M ,10, 0 , N ,725014, 0 , 	(17-MAY-2025 18:01:29)
84, M ,11, 0 , N ,725015, 0 , 	(17-MAY-2025 18:01:29)
84, M ,12, 0 , N ,725016, 0 , 	(17-MAY-2025 18:01:29)
84, M ,13, 0 , N ,725017, 0 , 	(17-MAY-2025 18:01:29)
84, M ,14, 0 , N ,725018, 0 , 	(17-MAY-2025 18:01:29)
84, M ,15, 0 , N ,725019, 0 , 	(17-MAY-2025 18:01:29)
84, M ,16, 0 , N ,725020, 0 , 	(17-MAY-2025 18:01:29)
84, M ,17, 0 , N ,725021, 0 , 	(17-MAY-2025 18:01:29)
84, M ,18, 0 , N ,725022, 0 , 	(17-MAY-2025 18:01:29)
84, M ,19, 0 , N ,725023, 0 , 	(17-MAY-2025 18:01:29)
84, M ,20, 0 , N ,725024, 0 , 	(17-MAY-2025 18:01:29)
84, M ,21, 0 , N ,725025, 0 , 	(17-MAY-2025 18:01:29)
84, M ,22, 0 , N ,725026, 0 , 	(17-MAY-2025 18:01:29)
84, M ,23, 0 , N ,725027, 0 , 	(17-MAY-2025 18:01:29)
84, M ,24, 0 , N ,725028, 0 , 	(17-MAY-2025 18:01:29)
84, M ,25, 0 , N ,725029, 0 , 	(17-MAY-2025 18:01:29)
84, M ,26, 0 , N ,725030, 0 , 	(17-MAY-2025 18:01:29)
84, M ,27, 0 , N ,725031, 0 , 	(17-MAY-2025 18:01:29)
84, M ,28, 0 , N ,725032, 0 , 	(17-MAY-2025 18:01:29)
84, M ,29, 0 , N ,725033, 0 , 	(17-MAY-2025 18:01:29)
84, M ,30, 0 , N ,725034, 0 , 	(17-MAY-2025 18:01:29)
84, M ,31, 0 , N ,725035, 0 , 	(17-MAY-2025 18:01:29)
84, M ,32, 0 , N ,725036, 0 , 	(17-MAY-2025 18:01:29)
84, M ,33, 0 , N ,725037, 0 , 	(17-MAY-2025 18:01:29)
84, M ,34, 0 , N ,725038, 0 , 	(17-MAY-2025 18:01:29)
84, M ,35, 0 , N ,725039, 0 , 	(17-MAY-2025 18:01:29)
84, M ,36, 0 , N ,725040, 0 , 	(17-MAY-2025 18:01:29)
84, M ,37, 0 , N ,725041, 0 , 	(17-MAY-2025 18:01:29)
84, M ,38, 0 , N ,725042, 0 , 	(17-MAY-2025 18:01:29)
84, M ,39, 0 , N ,725043, 0 , 	(17-MAY-2025 18:01:29)
84, M ,40, 0 , N ,725044, 0 , 	(17-MAY-2025 18:01:29)
84, M ,41, 0 , N ,725045, 0 , 	(17-MAY-2025 18:01:29)
84, M ,42, 0 , N ,725046, 0 , 	(17-MAY-2025 18:01:29)
84, M ,43, 0 , N ,725047, 0 , 	(17-MAY-2025 18:01:29)
84, M ,44, 0 , N ,725048, 0 , 	(17-MAY-2025 18:01:29)
84, M ,45, 0 , N ,725049, 0 , 	(17-MAY-2025 18:01:29)
84, M ,46, 0 , N ,725050, 0 , 	(17-MAY-2025 18:01:29)
84, M ,47, 0 , N ,725051, 0 , 	(17-MAY-2025 18:01:29)
84, M ,48, 0 , N ,725052, 0 , 	(17-MAY-2025 18:01:29)
85, M ,2, 0 , N ,725053, 0 , 	(17-MAY-2025 18:01:29)
85, M ,3, 0 , N ,725054, 0 , 	(17-MAY-2025 18:01:29)
85, M ,4, 0 , N ,725055, 0 , 	(17-MAY-2025 18:01:29)
85, M ,5, 0 , N ,725056, 0 , 	(17-MAY-2025 18:01:29)
85, M ,6, 0 , N ,725057, 0 , 	(17-MAY-2025 18:01:29)
85, M ,7, 0 , N ,725058, 0 , 	(17-MAY-2025 18:01:29)
85, M ,8, 0 , N ,725059, 0 , 	(17-MAY-2025 18:01:29)
85, M ,9, 0 , N ,725060, 0 , 	(17-MAY-2025 18:01:29)
85, M ,10, 0 , N ,725061, 0 , 	(17-MAY-2025 18:01:29)
85, M ,11, 0 , N ,725062, 0 , 	(17-MAY-2025 18:01:29)
85, M ,12, 0 , N ,725063, 0 , 	(17-MAY-2025 18:01:29)
85, M ,13, 0 , N ,725064, 0 , 	(17-MAY-2025 18:01:29)
85, M ,14, 0 , N ,725065, 0 , 	(17-MAY-2025 18:01:29)
85, M ,15, 0 , N ,725066, 0 , 	(17-MAY-2025 18:01:29)
85, M ,16, 0 , N ,725067, 0 , 	(17-MAY-2025 18:01:29)
85, M ,17, 0 , N ,725068, 0 , 	(17-MAY-2025 18:01:29)
85, M ,18, 0 , N ,725069, 0 , 	(17-MAY-2025 18:01:29)
85, M ,19, 0 , N ,725070, 0 , 	(17-MAY-2025 18:01:29)
85, M ,20, 0 , N ,725071, 0 , 	(17-MAY-2025 18:01:29)
85, M ,21, 0 , N ,725072, 0 , 	(17-MAY-2025 18:01:29)
85, M ,22, 0 , N ,725073, 0 , 	(17-MAY-2025 18:01:29)
85, M ,23, 0 , N ,725074, 0 , 	(17-MAY-2025 18:01:29)
85, M ,24, 0 , N ,725075, 0 , 	(17-MAY-2025 18:01:29)
85, M ,25, 0 , N ,725076, 0 , 	(17-MAY-2025 18:01:29)
85, M ,26, 0 , N ,725077, 0 , 	(17-MAY-2025 18:01:29)
85, M ,27, 0 , N ,725078, 0 , 	(17-MAY-2025 18:01:29)
85, M ,28, 0 , N ,725079, 0 , 	(17-MAY-2025 18:01:29)
85, M ,29, 0 , N ,725080, 0 , 	(17-MAY-2025 18:01:29)
85, M ,30, 0 , N ,725081, 0 , 	(17-MAY-2025 18:01:29)
85, M ,31, 0 , N ,725082, 0 , 	(17-MAY-2025 18:01:29)
85, M ,32, 0 , N ,725083, 0 , 	(17-MAY-2025 18:01:29)
85, M ,33, 0 , N ,725084, 0 , 	(17-MAY-2025 18:01:29)
85, M ,34, 0 , N ,725085, 0 , 	(17-MAY-2025 18:01:29)
85, M ,35, 0 , N ,725086, 0 , 	(17-MAY-2025 18:01:29)
85, M ,36, 0 , N ,725087, 0 , 	(17-MAY-2025 18:01:29)
85, M ,37, 0 , N ,725088, 0 , 	(17-MAY-2025 18:01:29)
85, M ,38, 0 , N ,725089, 0 , 	(17-MAY-2025 18:01:29)
85, M ,39, 0 , N ,725090, 0 , 	(17-MAY-2025 18:01:29)
85, M ,40, 0 , N ,725091, 0 , 	(17-MAY-2025 18:01:29)
85, M ,41, 0 , N ,725092, 0 , 	(17-MAY-2025 18:01:29)
85, M ,42, 0 , N ,725093, 0 , 	(17-MAY-2025 18:01:29)
85, M ,43, 0 , N ,725094, 0 , 	(17-MAY-2025 18:01:29)
85, M ,44, 0 , N ,725095, 0 , 	(17-MAY-2025 18:01:29)
85, M ,45, 0 , N ,725096, 0 , 	(17-MAY-2025 18:01:29)
85, M ,46, 0 , N ,725097, 0 , 	(17-MAY-2025 18:01:29)
85, M ,47, 0 , N ,725098, 0 , 	(17-MAY-2025 18:01:29)
85, M ,48, 0 , N ,725099, 0 , 	(17-MAY-2025 18:01:29)
