
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(03-MAY-2025 16:10:46)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
5002,null,0,29/06/2005 00:00:00,Actual Data, 	(03-MAY-2025 16:10:47)
5002,null,0,29/06/2005 00:00:00,Actual Data, 	(03-MAY-2025 16:10:47)
5002,null,0,29/07/2005 00:00:00,null, 	(03-MAY-2025 16:10:47)
5002,null,0,29/06/2005 00:00:00,null, 	(03-MAY-2025 16:10:47)
5002,null,0,29/07/2005 00:00:00,null, 	(03-MAY-2025 16:10:47)
7004,null,0,22/03/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7004,null,0,22/03/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7004,null,0,30/03/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7004,null,0,22/03/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7004,null,0,30/03/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
6012,null,0,12/01/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
6012,null,0,12/01/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
6012,null,0,16/01/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
6012,null,0,12/01/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7007,null,0,09/05/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7007,null,0,09/05/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7007,null,0,10/05/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7007,null,0,09/05/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
6003,null,0,31/05/2006 00:00:00,null, 	(03-MAY-2025 16:10:47)
6003,null,0,31/05/2006 00:00:00,null, 	(03-MAY-2025 16:10:47)
6003,null,0,31/05/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
6003,null,0,31/05/2006 00:00:00,null, 	(03-MAY-2025 16:10:47)
7012,null,0,11/06/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7012,null,0,11/06/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7012,null,0,20/07/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7012,null,0,11/06/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7012,null,0,20/07/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7023,null,0,21/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7023,null,0,21/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7023,null,0,21/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7023,null,0,21/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7023,null,0,21/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7019,null,0,26/09/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7019,null,0,26/09/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7019,null,0,26/09/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7019,null,0,26/09/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
8007,null,0,03/04/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8007,null,0,03/04/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8007,null,0,03/04/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8007,null,0,03/04/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8007,null,0,03/04/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
7022,null,0,06/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7022,null,0,06/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7022,null,0,13/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7022,null,0,06/11/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7024,null,0,03/12/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7024,null,0,03/12/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7024,null,0,03/12/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7024,null,0,03/12/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7020,null,0,10/10/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7020,null,0,10/10/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7020,null,0,10/10/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
7020,null,0,10/10/2007 00:00:00,null, 	(03-MAY-2025 16:10:47)
8001,null,0,14/02/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8001,null,0,14/02/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8001,null,0,14/02/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
9004,null,0,08/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9004,null,0,08/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9004,null,0,08/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9004,null,0,08/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9004,null,0,08/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9005,null,0,27/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9005,null,0,27/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9005,null,0,27/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9005,null,0,27/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
8028,null,0,23/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8028,null,0,23/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8028,null,0,23/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8028,null,0,23/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8028,null,0,23/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8021,null,0,22/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8021,null,0,22/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8021,null,0,22/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8021,null,0,22/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8021,null,0,22/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8013,null,0,28/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8013,null,0,28/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8013,null,0,28/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8013,null,0,28/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8013,null,0,28/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8017,null,0,24/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8017,null,0,24/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8017,null,0,24/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8017,null,0,24/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8017,null,0,24/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8025,null,0,24/09/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8025,null,0,24/09/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8025,null,0,24/09/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8025,null,0,24/09/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8014,null,0,30/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8014,null,0,30/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8014,null,0,30/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8014,null,0,30/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8014,null,0,30/05/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8015,null,0,04/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8015,null,0,04/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8015,null,0,04/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8015,null,0,04/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8015,null,0,04/06/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8026,null,0,02/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8026,null,0,02/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8026,null,0,06/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8026,null,0,02/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8026,null,0,06/10/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
9003,null,0,15/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9003,null,0,15/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9003,null,0,15/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9003,null,0,15/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9003,null,0,15/04/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
8019,null,0,07/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8019,null,0,07/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8019,null,0,07/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8019,null,0,07/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
8019,null,0,07/08/2008 00:00:00,null, 	(03-MAY-2025 16:10:47)
9007,null,0,14/05/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9007,null,0,14/05/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9007,null,0,14/05/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9007,null,0,14/05/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9007,null,0,14/05/5009 00:00:00,null, 	(03-MAY-2025 16:10:47)
10002,null,0,07/05/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10002,null,0,07/05/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10002,null,0,10/05/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10002,null,0,07/05/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10002,null,0,10/05/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
9017,null,0,10/09/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9017,null,0,10/09/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9017,null,0,10/09/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
9017,null,0,10/09/2009 00:00:00,null, 	(03-MAY-2025 16:10:47)
10004,null,0,20/08/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10004,null,0,20/08/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10004,null,0,22/08/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10004,null,0,20/08/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10004,null,0,22/08/2010 00:00:00,null, 	(03-MAY-2025 16:10:47)
10009,null,0,07/03/2011 00:00:00,null, 	(03-MAY-2025 16:10:47)
10009,null,0,07/03/2011 00:00:00,null, 	(03-MAY-2025 16:10:47)
10010,null,0,22/08/2011 00:00:00,null, 	(03-MAY-2025 16:10:47)
10010,null,0,22/08/2011 00:00:00,null, 	(03-MAY-2025 16:10:47)
10011,null,0,22/10/2011 00:00:00,Corrected figures, which were wrongly entered in EDQ., 	(03-MAY-2025 16:10:47)
10011,null,0,22/10/2011 00:00:00,Corrected figures, which were wrongly entered in EDQ., 	(03-MAY-2025 16:10:47)
10012,null,0,23/03/2012 00:00:00,T002759 was initial provisional invoice, there was error in "invoice frm" date, hence they issued another invoice and earlier was was credited thro' credit note, 	(03-MAY-2025 16:10:47)
